## 医生信息（格式为:姓名|科室|擅长）
邱娜璇|妇科|擅长妇科肿瘤、子宫脱垂、张力性尿失禁、妇科恶性肿瘤手术、妇科腹腔镜手术、宫腔镜手术、盆底重建术、急危重症病例抢救、经阴道尿道中段悬吊术、腹腔镜子宫骶骨固定术、腹腔镜侧腹壁悬吊术;

徐家南|妇科|擅长阴道松弛、小阴唇肥大的诊疗;月经不调，异常子宫出血，多囊卵巢综合症，绝经综合征，更年期的早期干预，绝经激素替代治疗和长期管理。

余瑞梅|妇科|擅长不完全性药物流产保守治疗，阴道中隔成形术，宫腔镜子宫内膜息肉切除术，复发性流产、稽留流产、胎停育、反复着床失败，妇科生殖不孕宫腹腔镜治疗。

肖福龙|妇科|擅长生殖内分泌疾病、不孕不育症、月经病、更年期疾病、自然流产等疾病诊治，妇科常见疾病，多发病的诊断治疗及各种良性疾病的手术治疗。

田野|妇科|擅长产科急危重症抢救、妇科良性疾病、妇科恶性疾病、宫腹腔镜手术、腹腔镜下子宫肌瘤剥除术、子宫次全切除术、子宫全切术、腹腔镜下附件肿物保守手术、腹腔镜下附件肿物根治性手术、宫腔镜下肿物切除、宫腔镜下异物取出。

汪燕|产科|擅长产科危急重症及高危妊娠管理和各类妇产科手术，善于凶险性前置胎盘，胎盘植入手术，双胎紧急宫颈环扎，剖宫产腹部切口美容缝合，挤压法子宫肌瘤剔除，保留胎膜剖宫产，腹膜外剖宫产，早产的管理，臀位外倒转，妊娠期高血压疾病及产前诊断，促进自然分娩等技术。

童美和|产科|擅长妊娠期糖尿病、妊娠期甲状腺功能减退等高危妊娠的诊治；乙肝母婴传播的预防；瘢痕子宫阴道试产的评估和监护；妊娠晚期催引产，难产处理；早产、胎儿窘迫、产后出血等妊娠和分娩并发症的处理；围产保健，产后中医药调理。

李敏|产科|擅长围产保健、高危妊娠管理及产科危急重症的救治；复发性流产保胎及早产安胎治疗；分娩并发症的处理；遗传优生咨询及产前诊断。

秦瑶|产科|擅长高危妊娠的管理、各种难产的处理，尤其在妊娠期糖尿病，早产，多胎妊娠，促进自然分娩，无痛分娩管理，产科快速康复等。

吴涢婷|妇产中医科|擅长针药结合治疗月经病、不孕症、多囊卵巢综合征、卵巢功能减退、先兆流产等妇科疑难病。

岳林林|生殖医学科|擅长优生备孕咨询，不孕不育症诊疗及各类人类辅助生殖技术应用。

刘秀凤|生殖医学科|擅长女性不孕症，妇科内分泌，复发性流产，反复种植失败等疾病的诊治，熟练掌握宫腔镜手术及各类人类辅助生殖技术。

方杰|神经康复科|擅长中风、颅脑外伤等神经系统疾病后遗肢体瘫痪、言语吞咽障碍、认知障碍的康复评定与治疗。

梁潇潇|神经康复科|擅长脑血管病，脑外伤，帕金森病，认知障碍的康复治疗，擅长应用神经调控技术治疗脑卒中，脑外伤，帕金森病等疾病导致的意识障碍。认知障碍。运动障碍等；运用肌骨超声引导下肉毒毒素注射治疗复杂面积痉挛。眼睑痉挛。肢体痉挛。留涎症，神经痛等。

刘科|重症与呼吸康复科|擅长早期神经重症康复及神经调控促进意识障碍及功能障碍改善。

冯丽虾|妇女保健科|擅长电刺激、磁刺激、AI温控射频、肌筋膜手法等多种非手术方法综合治疗盆底功能障碍性疾病。

陈健|骨与关节康复科|擅长骨质疏松，骨损伤，退行性骨关节疾病与老年性病的康复评定治疗。

李天骄|骨与关节康复科|擅长骨科康复（运动损伤疾病的保守治疗，骨科术后康复）。擅长使用物理治疗方式治疗运动损伤类疾病，并对骨科术后康复具有较为丰富的经验及心得。

黄立羡|骨与关节康复科|擅长肌骨超声引导诊断和治疗常见肌骨疾病，利用冲击波疗法和针灸等中医传统方法治疗常见肌骨疾病和进行身体调理。

张恩达|脊髓损伤康复科|擅长脊髓损伤后二便功能障碍等并发症的康复评估与治疗，肢体肌肉痉挛的肉毒素注射治疗，通过盆底生物反馈治疗，盆底磁刺激治疗，胫神经电刺激治疗等进行盆底功能障碍综合康复。

欧阳丽|高压氧科|擅长急危重症高压氧治疗（一氧化碳中毒及迟发性脑病等）及慢性病高压氧康复（脑卒中后遗症。脊髓损伤等）。

张丽梅|心脏康复科|擅长心脏康复五大处方体系构建及通过心肺运动功能评估，制定精准个性化的药物，运动，心理（含睡眠），营养及戒烟处方，开展体外反博，运动康复及健康生活方式指导与干预等综合治疗。

曾静雯|儿童康复科|擅长脑瘫、脑炎后遗症、癫痫术后、自闭症、精神运动发育迟缓等小儿发育障碍的康复评定与治疗。

刘科|重症与呼吸康复科|擅长脑卒中。脑及脊髓损伤，颅内肿瘤，神经系统感染等重症患者处理和并发症的管理，致力于早期神经重症康复及神经调控促进意识障碍及功能障碍改善，擅长应用神经电生理，神经影像学等的表现进行综合康复疗效及预后评估。
