## 医生信息（格式为:姓名|科室|擅长）
曾英琅|肿瘤与血管介入治疗科|擅长各期肝癌的个体化治疗（包含门静脉癌栓及下腔静脉癌栓介入治疗）、原发性肝癌及肝转移瘤钇90放射性微球治疗、出血性疾病介入治疗、内脏动脉瘤介入治疗、血管瘤/脉管畸形治疗、主动脉夹层及动脉瘤、外周动脉闭塞症、下肢静脉、血栓下肢静脉曲张、子宫肌瘤及腺肌症微创治疗、血透通路失能成形术、输液港植入、消化道狭窄支架植入术、良/恶性胆道梗阻等。

黄文玉|肿瘤与血管介入治疗科|擅长各部位病灶穿刺活检，对于肝脏肿瘤、出血性疾病、子宫肌瘤及腺肌症的介入治疗。

应敏刚|肝胆胰血管外科|长期从事肿瘤外科工作，在肿瘤外科领域有较高的理论水平和临床、科研、教学工作能力，特别在肿瘤外科手术治疗方面有较深的造诣，开展肝脏、胃肠等消化系统肿瘤及乳腺肿瘤的各种根治手术，尤其是对疑难复杂病例具有较强的处理能力。

许庚|耳鼻咽喉头颈外科|擅长鼻窦炎、鼻息肉的规范化药物治疗及功能性鼻内镜微创鼻窦手术。成人和儿童鼾症，扁桃体与腺样体肥大的无出血微创切除手术。鼻中隔矫正术与鼻腔扩容术治疗鼻阻塞。咽部扩大成型与舌根消融治疗阻塞性睡眠呼吸暂停综合症。以及过敏性鼻炎的整体症状控制，特异性脱敏和鼻内镜微创手术治疗，鼻出血与鼻粘膜干燥综合症的综合治疗。经鼻内镜根治性切除鼻腔鼻窦各类肿瘤。       

陈贤明|耳鼻咽喉头颈外科|擅长鼻炎鼻窦炎鼻息肉内镜微创手术，过敏性鼻炎药物和手术治疗，扁桃体腺样体肥大等离子微创手术，慢性咽炎。咽异感症，咽喉反流病，鼾症及阻塞性睡眠呼吸暂停低通气综合征治疗。中耳炎鼓膜修补，中耳胆脂瘤手术，耳聋耳鸣治疗。鼻腔鼻窦炎肿瘤，腮腺，颌下腺肿块。口腔及延咽旁间隙肿瘤手术，咽癌下咽癌手术及综合治疗，鼻咽癌，颈部淋巴结肿大，颈部肿块，甲状腺结节和肿瘤等诊断和手术切除。其他耳鼻咽喉头外颈外科疑难病。

梁文涛|耳鼻咽喉头颈外科|擅长1.鼻中隔偏曲微创手术（术后免鼻腔填塞）、鼻息肉切除、全组鼻窦开窗术、过敏性鼻炎手术治疗、儿童腺样体微创无血手术（手术时间约十分钟）、变逃离切除术、鼾症手术治疗、支撑喉镜下喉良性病损切除术等。

杨磊|耳鼻咽喉头颈外科|擅长1.因扁桃体腺样体肥大及咽腭舌根肥厚引起的睡眠呼吸障碍，2.支撑喉镜下嗓音外科手术，包括声带息肉、声带囊肿、声带白斑、早期声带癌CO2激光微创治疗，喉癌的治疗。3.咽喉疾病低温等离子微创治疗、鼾症治疗；4.鼻窦炎、鼻息肉、鼻炎及颈部肿物。

黄钦辉|耳鼻咽喉头颈外科|擅长耳鼻咽喉常见疾病的诊治，专注于成人各类鼻炎鼻窦炎鼻中隔偏曲的诊治，擅长鼻内镜下功能性鼻窦开放鼻息肉切除和鼻中隔偏曲矫正手术。擅长儿童口呼吸打鼾过敏性鼻炎鼻窦炎分泌性中耳炎的规范化诊治以及儿童扁桃体腺样体低温等离子手术。

陈立萍|耳鼻咽喉头颈外科|擅长等离子下腺样体、扁桃体切除等咽喉疾病手术治疗，耳科疾病的诊治，包括各种显微镜、耳内镜下如图根治术，股室成型术，胆脂瘤切除术。人工听骨植入，听骨链重建术，耳前瘘管切除等手术，耳聋病，耳源性眩晕。耳鸣的药物治疗及功能训练，各种鼻科手术，包括鼻内镜下各型鼻窦开放，鼻息肉切除，鼻中隔偏曲矫正术等，鼻咽喉过敏性疾病的综合治疗。

马宏敏|耳鼻咽喉头颈外科|擅长耳科疾病（如中耳炎、鼓膜穿孔、中耳胆脂瘤、耳硬化症、先天性及后天性听力下降、外中耳畸形，耳部轮廓，耳鸣，眩晕，面瘫等）的保守及手术治疗。熟练开展显微镜及耳内镜下鼓膜修复术，乳突根治术，鼓室成型术，镫骨底板开窗术，人工听骨植入术，听力重建术，半规管填塞术，面神经减压术外中耳畸形矫正术，耳部肿瘤切除术等多种耳部手术。

